Latitude,Longitude,DoseRate_R_hr
36.27256098,-86.70882563,5.92E-06
36.27256098,-86.70864596,5.67E-06
36.27256098,-86.7084663,6.43E-06
36.27256098,-86.70828664,6.86E-06
36.27256098,-86.70810697,5.44E-06
36.27256098,-86.70792731,6.78E-06
36.27256098,-86.70774765,5.40E-06
36.27256098,-86.70756798,6.46E-06
36.27256098,-86.70738832,5.52E-06
36.27256098,-86.70720866,6.43E-06
36.27256098,-86.70702899,5.70E-06
36.27256098,-86.70684933,5.40E-06
36.27256098,-86.70666967,5.93E-06
36.27256098,-86.70649001,5.29E-06
36.27256098,-86.70631034,5.38E-06
36.27256098,-86.70613068,6.06E-06
36.27256098,-86.70595102,6.42E-06
36.27256098,-86.70577135,5.93E-06
36.27256098,-86.70559169,6.66E-06
36.27256098,-86.70541203,6.07E-06
36.27256098,-86.70523236,6.66E-06
36.27256098,-86.7050527,5.85E-06
36.27256098,-86.70487304,5.84E-06
36.27256098,-86.70469338,6.55E-06
36.27256098,-86.70451371,6.71E-06
36.27256098,-86.70433405,6.74E-06
36.27256098,-86.70415439,5.89E-06
36.27256098,-86.70397472,5.58E-06
36.27256098,-86.70379506,5.79E-06
36.27256098,-86.7036154,5.78E-06
36.27256098,-86.70343573,6.39E-06
36.27256098,-86.70325607,6.13E-06
36.27256098,-86.70307641,6.55E-06
36.27256098,-86.70289674,5.68E-06
36.27256098,-86.70271708,5.86E-06
36.27256098,-86.70253742,6.25E-06
36.27256098,-86.70235776,6.52E-06
36.27256098,-86.70217809,5.89E-06
36.27256098,-86.70199843,5.22E-06
36.27256098,-86.70181877,6.02E-06
36.27256098,-86.7016391,5.64E-06
36.27256098,-86.70145944,5.93E-06
36.27256098,-86.70127978,6.54E-06
36.27256098,-86.70110011,5.74E-06
36.27256098,-86.70092045,6.55E-06
36.27256098,-86.70074079,6.47E-06
36.27256098,-86.70056112,6.80E-06
36.27256098,-86.70038146,5.95E-06
36.27256098,-86.7002018,5.88E-06
36.27256098,-86.70002214,6.41E-06
36.27256098,-86.69984247,6.21E-06
36.27256098,-86.69966281,6.03E-06
36.27256098,-86.69948315,6.60E-06
36.27256098,-86.69930348,6.45E-06
36.27256098,-86.69912382,5.43E-06
36.27256098,-86.69894416,6.00E-06
36.27256098,-86.69876449,6.02E-06
36.27256098,-86.69858483,6.30E-06
36.27256098,-86.69840517,5.60E-06
36.27256098,-86.69822551,5.83E-06
36.27256098,-86.69804584,5.84E-06
36.27256098,-86.69786618,5.88E-06
36.27256098,-86.69768652,6.11E-06
36.27256098,-86.69750685,5.91E-06
36.27256098,-86.69732719,5.12E-06
36.27256098,-86.69714753,6.74E-06
36.27256098,-86.69696786,5.99E-06
36.27256098,-86.6967882,6.34E-06
36.27256098,-86.69660854,6.01E-06
36.27256098,-86.69642887,5.99E-06
36.27256098,-86.69624921,6.33E-06
36.27256098,-86.69606955,5.97E-06
36.27256098,-86.69588989,5.40E-06
36.27256098,-86.69571022,6.03E-06
36.27256098,-86.69553056,5.97E-06
36.27256098,-86.6953509,6.67E-06
36.27256098,-86.69517123,6.73E-06
36.27256098,-86.69499157,5.37E-06
36.27256098,-86.69481191,5.87E-06
36.27256098,-86.69463224,5.27E-06
36.27256098,-86.69445258,5.79E-06
36.27256098,-86.69427292,6.52E-06
36.27256098,-86.69409325,5.90E-06
36.27256098,-86.69391359,6.33E-06
36.27256098,-86.69373393,6.96E-06
36.27256098,-86.69355427,6.46E-06
36.27256098,-86.6933746,6.61E-06
36.27256098,-86.69319494,5.90E-06
36.27256098,-86.69301528,5.69E-06
36.27256098,-86.69283561,5.93E-06
36.27256098,-86.69265595,5.63E-06
36.27256098,-86.69247629,6.70E-06
36.27256098,-86.69229662,5.31E-06
36.27256098,-86.69211696,5.41E-06
36.27256098,-86.6919373,5.93E-06
36.27256098,-86.69175763,6.69E-06
36.27256098,-86.69157797,5.61E-06
36.27256098,-86.69139831,6.10E-06
36.27256098,-86.69121865,5.76E-06
36.27256098,-86.69103898,6.19E-06
36.27256098,-86.69085932,5.37E-06
36.27256098,-86.69067966,6.43E-06
36.27256098,-86.69049999,6.39E-06
36.27256098,-86.69032033,5.52E-06
36.27256098,-86.69014067,6.42E-06
36.27256098,-86.689961,6.44E-06
36.27256098,-86.68978134,5.70E-06
36.27256098,-86.68960168,6.08E-06
36.27256098,-86.68942202,6.06E-06
36.27256098,-86.68924235,5.84E-06
36.27256098,-86.68906269,6.92E-06
36.27256098,-86.68888303,7.01E-06
36.27256098,-86.68870336,5.92E-06
36.27256098,-86.6885237,5.49E-06
36.27256098,-86.68834404,6.58E-06
36.27256098,-86.68816437,6.50E-06
36.27256098,-86.68798471,5.67E-06
36.27256098,-86.68780505,5.87E-06
36.27256098,-86.68762538,6.88E-06
36.27256098,-86.68744572,5.74E-06
36.27256098,-86.68726606,5.36E-06
36.27256098,-86.6870864,5.31E-06
36.27256098,-86.68690673,6.16E-06
36.27256098,-86.68672707,6.40E-06
36.27256098,-86.68654741,5.20E-06
36.27256098,-86.68636774,6.69E-06
36.27256098,-86.68618808,5.62E-06
36.27256098,-86.68600842,6.35E-06
36.27270583,-86.70882563,5.78E-06
36.27270583,-86.70864596,5.73E-06
36.27270583,-86.7084663,6.47E-06
36.27270583,-86.70828664,6.06E-06
36.27270583,-86.70810697,6.74E-06
36.27270583,-86.70792731,5.29E-06
36.27270583,-86.70774765,5.92E-06
36.27270583,-86.70756798,5.73E-06
36.27270583,-86.70738832,5.98E-06
