Latitude,Longitude,DoseRate_mR_hr
32.30597276,-110.9574278,6.08E-03
32.30597276,-110.9572481,6.46E-03
32.30597276,-110.9570685,6.68E-03
32.30597276,-110.9568888,6.02E-03
32.30597276,-110.9567091,5.96E-03
32.30597276,-110.9565295,6.14E-03
32.30597276,-110.9563498,5.67E-03
32.30597276,-110.9561701,5.39E-03
32.30597276,-110.9559905,5.11E-03
32.30597276,-110.9558108,5.87E-03
32.30597276,-110.9556312,5.56E-03
32.30597276,-110.9554515,5.27E-03
32.30597276,-110.9552718,5.05E-03
32.30597276,-110.9550922,6.14E-03
32.30597276,-110.9549125,5.17E-03
32.30597276,-110.9547328,6.26E-03
32.30597276,-110.9545532,5.83E-03
32.30597276,-110.9543735,5.77E-03
32.30597276,-110.9541938,5.68E-03
32.30597276,-110.9540142,6.34E-03
32.30597276,-110.9538345,6.48E-03
32.30597276,-110.9536549,5.56E-03
32.30597276,-110.9534752,5.52E-03
32.30597276,-110.9532955,5.99E-03
32.30597276,-110.9531159,5.80E-03
32.30597276,-110.9529362,5.65E-03
32.30597276,-110.9527565,6.55E-03
32.30597276,-110.9525769,5.35E-03
32.30597276,-110.9523972,5.98E-03
32.30597276,-110.9522176,5.60E-03
32.30597276,-110.9520379,6.21E-03
32.30597276,-110.9518582,6.03E-03
32.30597276,-110.9516786,6.09E-03
32.30597276,-110.9514989,6.17E-03
32.30597276,-110.9513192,6.00E-03
32.30597276,-110.9511396,6.30E-03
32.30597276,-110.9509599,5.58E-03
32.30597276,-110.9507803,5.78E-03
32.30597276,-110.9506006,5.43E-03
32.30597276,-110.9504209,5.73E-03
32.30597276,-110.9502413,6.51E-03
32.30597276,-110.9500616,6.08E-03
32.30597276,-110.9498819,6.13E-03
32.30597276,-110.9497023,5.86E-03
32.30597276,-110.9495226,6.37E-03
32.30597276,-110.9493429,5.85E-03
32.30597276,-110.9491633,6.66E-03
32.30597276,-110.9489836,5.58E-03
32.30597276,-110.948804,5.95E-03
32.30597276,-110.9486243,6.12E-03
32.30597276,-110.9484446,6.98E-03
32.30597276,-110.948265,6.59E-03
32.30597276,-110.9480853,6.06E-03
32.30597276,-110.9479056,6.19E-03
